Printing BetweenessCentrality
Printing HITS authority + hub
User lukhnos = Auth(  0.00007 ) + Hub(  0.00004 ) 
User matpalm = Auth(  0.00008 ) + Hub(  0.00019 ) 
User ippy04 = Auth(  0.00033 ) + Hub(  0.00002 ) 
User Abica = Auth(  0.00007 ) + Hub(  0.00006 ) 
User nsobject = Auth(  0.00010 ) + Hub(  0.00007 ) 
User onemorehill = Auth(  0.00007 ) + Hub(  0.00238 ) 
User Sutto = Auth(  0.00127 ) + Hub(  0.03668 ) 
User bgianfo = Auth(  0.00007 ) + Hub(  0.00202 ) 
User subtleGradient = Auth(  0.00064 ) + Hub(  0.00369 ) 
User cqa02303 = Auth(  0.00007 ) + Hub(  0.00127 ) 
User basho = Auth(  0.00039 ) + Hub(  0.00000 ) 
User rcunning = Auth(  0.00319 ) + Hub(  0.01257 ) 
User digitalextremist = Auth(  0.00007 ) + Hub(  0.01872 ) 
User socialtext = Auth(  0.00096 ) + Hub(  0.00000 ) 
User bensussman = Auth(  0.00007 ) + Hub(  0.00000 ) 
User Wred = Auth(  0.00007 ) + Hub(  0.00365 ) 
User rafaelgaspar = Auth(  0.00007 ) + Hub(  0.01317 ) 
User camflan = Auth(  0.00007 ) + Hub(  0.00733 ) 
User teliatko = Auth(  0.00007 ) + Hub(  0.00226 ) 
User davebryson = Auth(  0.00102 ) + Hub(  0.00000 ) 
User nsmgr8 = Auth(  0.00007 ) + Hub(  0.00374 ) 
User anandkunal = Auth(  0.00418 ) + Hub(  0.00855 ) 
User jax = Auth(  0.00007 ) + Hub(  0.00009 ) 
User jbw = Auth(  0.00007 ) + Hub(  0.03126 ) 
User samx2 = Auth(  0.00007 ) + Hub(  0.01474 ) 
User adambray = Auth(  0.00007 ) + Hub(  0.00001 ) 
User jbr = Auth(  0.00047 ) + Hub(  0.03587 ) 
User egilchri = Auth(  0.00021 ) + Hub(  0.00374 ) 
User penberg = Auth(  0.00007 ) + Hub(  0.00374 ) 
User a13x = Auth(  0.00007 ) + Hub(  0.00017 ) 
User bianster = Auth(  0.00007 ) + Hub(  0.01555 ) 
User jbn = Auth(  0.00007 ) + Hub(  0.00046 ) 
User f4nt = Auth(  0.00007 ) + Hub(  0.00620 ) 
User mafis = Auth(  0.00007 ) + Hub(  0.00120 ) 
User robrien = Auth(  0.00007 ) + Hub(  0.00054 ) 
User heliostatic = Auth(  0.00007 ) + Hub(  0.02359 ) 
User jcf = Auth(  0.00007 ) + Hub(  0.02362 ) 
User milesj = Auth(  0.00007 ) + Hub(  0.00037 ) 
User kevinspencer = Auth(  0.00007 ) + Hub(  0.00253 ) 
User brown2020 = Auth(  0.00007 ) + Hub(  0.00001 ) 
User moomerman = Auth(  0.00007 ) + Hub(  0.01444 ) 
User metcalfc = Auth(  0.00007 ) + Hub(  0.00250 ) 
User tuulos = Auth(  0.00225 ) + Hub(  0.00000 ) 
User Skofo = Auth(  0.00007 ) + Hub(  0.00001 ) 
User wested = Auth(  0.00075 ) + Hub(  0.00721 ) 
User fusedevice = Auth(  0.00037 ) + Hub(  0.00000 ) 
User graphnode = Auth(  0.00007 ) + Hub(  0.00365 ) 
User vincentchu = Auth(  0.00012 ) + Hub(  0.00000 ) 
User sorenmacbeth = Auth(  0.00007 ) + Hub(  0.01903 ) 
User stamen = Auth(  0.00007 ) + Hub(  0.00013 ) 
User ada2358 = Auth(  0.00007 ) + Hub(  0.00001 ) 
